epoch,loss,active_pct,val_top1,val_top3,lr,backbone_unfrozen
1,0.3102,100.0,0.192,0.300,1.0e-03,False
2,0.2880,98.3,0.196,0.317,1.0e-03,False
3,0.2638,94.3,0.222,0.362,1.0e-03,False
4,0.2441,92.2,0.255,0.408,1.0e-03,False
5,0.2317,90.2,0.270,0.424,1.0e-03,False
6,0.1794,80.8,0.421,0.601,1.0e-04,True
7,0.1344,69.8,0.499,0.687,9.8e-05,True
8,0.1165,64.2,0.523,0.707,9.7e-05,True
9,0.1072,60.5,0.573,0.763,9.4e-05,True
10,0.0947,55.7,0.614,0.791,9.1e-05,True
11,0.0854,52.3,0.634,0.802,8.7e-05,True
12,0.0826,51.1,0.609,0.808,8.2e-05,True
13,0.0714,46.9,0.629,0.800,7.7e-05,True
14,0.0687,46.2,0.656,0.829,7.2e-05,True
15,0.0652,43.2,0.689,0.848,6.6e-05,True
16,0.0618,42.1,0.705,0.855,6.0e-05,True
17,0.0600,40.6,0.698,0.860,5.4e-05,True
18,0.0602,41.5,0.715,0.872,4.7e-05,True
19,0.0561,38.8,0.720,0.878,4.1e-05,True
20,0.0534,38.1,0.715,0.879,3.5e-05,True
21,0.0530,37.6,0.716,0.863,2.9e-05,True
22,0.0549,38.8,0.718,0.873,2.4e-05,True
23,0.0511,36.4,0.723,0.878,1.9e-05,True
24,0.0494,35.9,0.748,0.887,1.4e-05,True
25,0.0473,34.8,0.731,0.889,1.0e-05,True
26,0.0483,35.8,0.734,0.878,7.1e-06,True
27,0.0502,36.1,0.722,0.873,4.5e-06,True
28,0.0501,35.7,0.738,0.880,2.6e-06,True
29,0.0485,36.0,0.731,0.882,1.4e-06,True
30,0.0485,35.9,0.743,0.909,1.0e-06,True
